,ISBN,Book_Title,Description
234798,0451134796,The Pink Parasol,"Lovely young Cecily Merton barters her hand in marriage to pay off her father's enormous gambling debt, but her heart belongs to Marcus Anstruther, a man who offers her everything except what she most desperately needs"
234800,0394906160,Man O' War,"A fictionalized account of the famous Man o' War house, and of the famous races he ran."
234801,0553354590,The 30 Day Fat-burner Workout,"A guide to losing fat and keeping it off presents a safe and effective three-part program that includes moderate intensity fat-burning exercises, muscle-building work, and a well-balanced and nutritious food plan. Original. 125,000 first printing."
234802,0785746277,Black Gold,A heroic small-boned horse with a will to win is finally ridden to glory by his devoted jockey
234804,037302746X,A Lake in Kyoto,"A Lake In Kyoto by Marjorie Lewty released on Dec 25, 1985 is available now for purchase."
234806,0899669476,Billy and Blaze,A little boy who loves horses gets a special birthday present.
234807,0590410954,Leaf Magic and Five Other Favorites,"Six stories explore the magic of a child's world--including the title story in which Michael dreams of a dog as he runs home from school, then notices a huge orange leaf following him"
234808,0394811992,The Ear Book,"What fun it is to hear popcorn popping, flutes tooting, hands clapping, and fingers snapping."
234809,0440403901,Red Herrings,"The turtles swim into action when their enemy, the Shredder, starts causing trouble in the middle of the Atlantic Ocean."
234810,0380808927,For Duty and Honor,"After a brutal terrorist attack during the Persian Gulf war, Admiral Heater Robinson of America's Navy flagship launches an unauthorized counterattack, placing CIA operative and U.S. Navy SEAL Rick Holden, who is subsequently ordered to assassinate Robinson, in a painful moral dilemma. Original."
234811,0060283807,The Night Before Christmas,The well-known poem about an important Christmas Eve visitor.
234812,0373026854,Love's Good Fortune,"Love's Good Fortune by Louise Harris released on Feb 22, 1985 is available now for purchase."
234814,0394899431,An Ear for Danger,"The Three Investigators, just turned seventeen, win a free trip to Mexico and find themselves on an unexpected quest for treasure in the Sierra Madre."
234815,037302715X,Big Sur,"Big Sur by Elizabeth Graham released on Jul 25, 1985 is available now for purchase."
234816,067056172X,A Pocket for Corduroy,"2018 marks the 50th anniversary of Corduroy, Don Freeman's story of a beloved teddy bear and his friend Lisa, which has sold millions of copies and delighted children all over the world. In this sequel to Corduroy, Lisa takes her toy bear to a Laundromat, where he goes on a soapy adventure!"
234817,043928337X,Clifford's Hiccups,"When Clifford develops the hiccups, his friends try to find a cure."
234819,0307604969,Colors are Nice,"Many colors are perfect all by themselves and just where they are, but some people like mixed-up colors best."
234821,1562825402,Disney's: Winnie the Pooh's: Halloween,A collection of children's books on the subject of Halloween.
234822,0870444247,Giants from the Past,"Traces the development of the first mammals, many of which grew to giant proportions in order to survive the cold temperatures and violent changes of the Ice Age."
234825,0307103250,The Fuzzy Duckling,"Alice and Martin Provensen’s illustrations are so delightful that children will want to join the fuzzy duckling on his stroll through the countryside, meeting animals along the way. This adorable counting story by Jane Werner Watson is as fresh today as it was in 1949."
234827,0345367855,Living Recovery,"The familiar words ""life goes on"" describes the challenging realities we must face when we begin recovering from an addiction. All the pamphlets in the bestselling Hazelden Pocket Power series are collected in this volume to provide inspiration and support and help the recovering individual deal with the different stages encountered in the recovery process."
234828,0130869007,Object-oriented Programming with Java,"For an undergraduate course in Object-Oriented Programming or a course in Intermediate Java Programming. Appealing to programmers and non-programmers alike, this complete introduction to Java shows students how to use this versatile and popular object-oriented programming language as a primary tool in many different aspects of their programming work (not just for creating programs with graphical content within Web pages), and includes complete descriptions of the fundamental elements of Java with step-by-step instructions on how to compile and run a program. Well-organized, clearly written, and visually engaging, it gives students real hands-on experience as it guides them through all of Java's functions and capabilities reinforcing their understanding with periodic reviews and helping them see Java's everyday applicability through many interesting case studies. Emphasizing the importance of good programming style particularly the need to maintain an object's integrity from outside interference it teaches students how to harness the power of Java in object-oriented programming, and enables them to create their own interesting and practical every-day applications."
234830,0806616539,"Sex, Love, Or Infatuation","With almost 300,000 copies in print, Sex, Love, or Infatuation has become ""must reading"" for both teens and young adults. Now, this revised, up-to-date edition includes the latest information on AIDS, sexually-transmitted diseases, and other important topics."
234831,0525387382,Runaway Stallion,"Jeff is considered a ""clodhopper"" by youngsters in the ranching community but his luck changes after he conquers his own fears in a search for a magnificent red stallion."
234833,0966002474,Change Almost Anything in 21 Days,"CHANGE ALMOST ANYTHING IN 21 DAYS is a unique book with simple, proven techniques that can help the reader change. It has been scientifically proven that positive words can alter the chemistry of one's brain, changing how we feel and how we approach life. It has been also proven that changing our thinking and habits require 21 days. The techniques in this book have been taught by the author to thousands of people for over 20 years."
234834,0394906071,The Island Stallion's Fury,"Pitch and Steve's secret island valley is discovered and invaded by a hard and vicious man, who is a threat to the island stallion and his band."
234835,0312204884,A Pocket Style Manual,"Clarity, grammar, punctuation and mechanics, research sources, MLA, APA, Chicago, and usage/grammatical terms."
234837,0130261610,Rapid Java Application Development Using JBuilder 3,"Comprehensive and incremental, this text focuses on rapid Java application development. The early chapters introduces JavaBeans-the basis of rapid Java application development; while subsequent chapters apply-step-by-step- rapid application development techniques to build comprehensive, robust and useful graphics applications, database and client/server applications, and distributed applications."
234838,0534352634,Precalculus,"The Eighth Edition of this well respected text - part of Swokowski/Cole series of mathematics texts - features updated discussions to enable students to more easily understand the mathematical concepts; new exercises that require students to estimate, approximate, interpret a result, write a summary, create a model, explore, or find a generalization; and more examples and exercises that use graphing calculators. These changes have been incorporated without sacrificing the mathematical soundness that has been paramount to the success of this text and series."
234842,0688220576,Busybody Nora,Relates the adventures of an inquisitive little girl who lives in a large apartment building in New York with her parents and little brother Teddy.
234843,0534355633,Single Variable Calculus,"This best-selling text differs from Calculus, 4/e in that the exponential and logarithmic functions are covered earlier. These functions are introduced in the first chapter and their limits and derivatives are found in Chapters 2 and 3 at the same time as polynomials and the other elementary functions."
234844,0373109695,To Speak of Love,"To Speak Of Love by Claudia Jameson released on Feb 20, 1987 is available now for purchase."
234845,0139364285,An Introduction to Programming Using Visual Basic 6.0,"This text has been updated to cover Visual Basic 6 and Microsoft's Internet Transfer Control 5. It includes a discussion of VB Script 2.0. The work also covers debugging, on-line help and error-trapping."
234847,0201357437,Problem Solving with Java,"This book presents a careful balance between traditional problem-solving techniques and object-oriented design. The book conveys the relationship between good problem-solving skills and effective software development by consistently applying a proven software development method that has been adapted to the object-oriented paradigm. The authors employ several features to enhance the usefulness of this book as a teaching tool. These include syntax displays, program style displays, end-of-section exercises, examples, case studies, error discussions, and chapter reviews. Also, interviews with famous computer scientists provide glimpses into various careers in computer science."
234848,0830820124,Witnessing,"Six studies, based on Paul Little's popular How to Give Away Your Faith, deepen your understanding of the essentials of faith and strengthen your confidence as you talk with others about the very best news of all."
234850,0793821568,Guide to Owning a Rabbit,"In this small guidebook, you will find all the information you need to get started in this hobby, either as a one-bunny owner, an exhibitor, or a potential breeder."
234851,1562391593,The Dream Child,"Alice tries to prevent Freddy, a monstrous mass murderer, from possessing the soul of her unborn child. Sequel to ""The Dream Master."""
234853,1569714827,Ring of Fire,"""Buffy"" TV writer Petrie showcases his supernatural talent in this never-before-published graphic novel about the darkest period in Buffy's life--when Angel, the man she loves, becomes a monster she must destroy."
234854,084394627X,Landing Party,"The crew of a Navy destroyer is sent to retrieve a hijacked Libyan helicopter containing a CIA agent and a defecting Libyan major who knows where a group of Americans is being held hostage. But when the helicopter is shot down and only the agent survives, the mission gets complicated."
234855,0962847216,Haunted Ohio II,Old and new ghost stories from around Ohio.
234856,0027109909,"Are You There God? It's Me, Margaret","Margaret Simon, almost twelve, has just moved from New York City to the suburbs, and she's anxious to fit in with her new friends. When she's asked to join a secret club she jumps at the chance. But when the girls start talking about boys, bras, and getting their first periods, Margaret starts to wonder if she's normal. There are some things about growing up that are hard for her to talk about, even with her friends. Lucky for Margaret, she's got someone else to confide in . . . someone who always listens."
234857,0373107579,Untamed,"Untamed by Carole Mortimer released on Nov 23, 1984 is available now for purchase."
234858,0394829360,Thriller Diller,The seventeen-year-old Investigators try to locate a film star kidnapped during the filming of a horror movie.
234859,3822872199,"Claude Monet, 1840-1926","Illustrated with reproductions of his paintings, this book discusses the works of Monet, from his early artistic leanings to his accomplishments that would have a decisive influence on the modern art of the 20th century."
234860,0140315330,After the Goat Man,"An overweight, sensitive boy gains the insight and strength to overcome his problems through his search for and discovery of a friend's grandfather, known as the Goat Man."
234861,0300077491,Monet in the 20th Century,"An illustrated examination of Monet's work between 1900 and 1926, which sets the paintings in a personal as well as an historical context. The authors also assess the artists public persona and his personal and professional strategies. The text is designed to accompany an exhibition at the Boston Museum of Fine Arts in September 1998."
234862,0810926105,Monet,A mix of art history and garden theory provides a look at the late masterworks of Monet.
234864,0373027788,Return to Faraway,"Return To Faraway by Valerie Parv released on May 23, 1986 is available now for purchase."
234865,0307119262,Splish-Splash Sounds,"Brief text and labeled illustrations introduce sounds associated with different machines, animals, people, and activities."
234866,0440406676,Fox Tale,"Donkey, Crow, and Rabbit join forces to prevent Fox from swindling Bear out of a jar of honey."
234870,0394873823,The Three Investigators in The Mystery of the Creep-show Crooks,The Three Investigators tangle with a couple of shady producers of horror films when they try to track down a runaway teenager.
234872,1553950852,The Outer Realm,"Ben Johnson and his best fried, Jim Clark, two regular teenagers from the town of Silver Oak, California, decided to take a trip to their town's amusement park for a way to relax from the hectic school year, and the start of a much-needed summer vacation. Along the way home, they stumble down a treacherous decline, where their lives take a turn for the worst. Once they regain consciousness from their fall, their truest adventure begins, for nothing they've ever gone through was quite this rough. Finding themselves entrapped upon a dusty, dirt road that leads endlessly through the Outer Realm, their long-term friendship is put to the ultimate test while being controlled by the realm's unseen keeper. Ben and Jim later discover that their main goal is to destroy the evil entity before they find an eternal home for their spirits among the Outer Realm's desolate wasteland. Meanwhile, in the town of Silver Oak, both Jim and Ben's parents try to live through each day in fear and senility, waiting for their children to return home. The spirit of the Outer Realm's demonic keeper lingers in the neighborhood, having a spiritual connection with a kind, elderly gentlemen. By doing so, the evil spirit is able to cross over between worlds to wreak his havoc. The mystery of Silver Oaks ongoing nightmare resembles the epitome of an unearthly nature, as the town's authorities try to unlock the ghastly doors of the supernatural that link to the missing children. Will they ever solve the mysteries that have been circulating around time after time, or will they find certain death as they investigate the areas of the supernatural? Venture into the Outer Realm, and discover for yourself the eerie mysteries that have kept the people of Silver Oak in sheer terror time and again."
234874,0671627309,The World's Most Famous Ghosts,Ghost stories from around the world are investigated.
234877,0822053047,Basic Math and Pre-algebra,"For stumped students, this volume covers mathematics topics encountered prior to Algebra, including whole numbers, decimals, fractions, percents, exponents, and roots."
234878,0822053586,Trigonometry,"A comprehensive review guide to help you refresh your study. This guide is particularly useful for midterms and final exams, condensing a semester's worth of information into one concise volume."
234883,038070319X,What Your Doctor Didn't Learn in Medical School,"Critiques today's medical profession, identifying failings in medical training and practice, and advises readers on demanding and obtaining quality health care"
234884,0916766918,Lost Teachings on Your Higher Self,"The authors demonstrate that much of Jesus' teaching has been lost -- either removed from the Gospels, suppressed, kept secret for those being initiated into the deeper mysteries, or never written down at all. Then, in modern vernacular, they present a bold reconstruction of the essence of Jesus' message -- the lost teachings Jesus gave his disciples 2000 years ago on karma, reincarnation, good and evil, and how to reunite with the Higher Self. Includes 32 Roerich art reproductions and illustrations of the chakras in the body of man."
234885,0385335458,Franklin Flyer,"In this shimmering work of fiction, Nicholas Christopher follows the remarkable life ofFranklin Flyer–a restless young inventor named after the train on which he was born–through the tumultuous years of the Great Depression, into the Second World War. Raised by his suffragette aunt, at various times a vagabond and tycoon, Franklin travels across the U.S.A and around the globe, seeking adventure and enlightenment, charting his fate by pursuing the unexpected. He encounters a glittering cast of characters: among them Rita Hayworth, Josephine Baker, OSS founder “Wild Bill” Donovan, and a host of political zealots, opportunists, and dreamers thrown together in a world on the brink of collapse. With each new invention–devices that help to revolutionize everything from early television to the technology with which the Allies respond to the Axis powers–Franklin makes his mark. Gaining fame and fortune, he also suffers terrible heartbreak, and through numerous transformations discovers that a man’s own life is truly his most difficult, and rewarding, invention. A brisk, vivid blend of history and imagination,Franklin Flyerbrings to life an American hero as unforgettable as his times. From the Hardcover edition."
234887,1558703160,The Organization Map,"Offers advice on time management, storage solutions, meal planning, and work schedules, and explains how to reduce clutter and get family members to help with housework"
234888,0373730284,Bargaining for Baby,"Queensland sheep station owner Jack Prescott wasn't ready to be a full-time father. He'd do his duty and care for his orphaned nephew, but he had no place in his battered heart for a baby...or for guardian Madison Tyler, the woman hell-bent on disrupting his life. Yet Jack couldn't ignore the attraction he felt for Madison. Their affair was fast and furious...and soon fraught with regret. The city girl's stay in the Outback was only temporary and Jack had a little boy to care for. How could they even consider bargaining for more time when neither was prepared for forever?"
234889,0967684749,Channel Zero,"Special interest groups have bullied the government into passing the Clean Act, effectively killing freedom of speech and silencing the country into submission. TV and God become one and the same as America wages its own holy war against its citizens. Meet Jennie 2.5, media slut turned info-terrorist, out to save the country from itself, and restore free will and self expression. Hailed internationally as ground-breaking work in the field of sequential art, Channel Zero challenges and tests the limits, combining current events and no-future shock into a dark, paranoid, deep-ambient visual narrative."
234891,0425087417,Mind Over Back Pain,"A physician-professor of clinical rehabilitative medicine explains tension myositis syndrome, back pain caused by tension, and outlines ways in which that pain can be reduced or eliminated through control of stress and physical reactions"
234893,0440206405,What You Can Do about Diabetes,"For the 12 million Americans who suffer from diabetes, here are the facts that can help them live their lives to the fullest, including the latest diet recommendations from the American Diabetes Association."
234895,0156002116,"Amphitryon, by Moliere","A comic satire recounts how Jupiter takes on the form of the Theban general Amphitryon while that mortal is away at war, in order to spend the night with Amphitryon's beautiful wife, Alcmena"
234897,0679440798,The Place Within,"Unconventional poems written by John Paul II as priest, bishop, archbishop, and cardinal incorporate religious, political, social, and historical themes and are addressed to a variety of people"
234898,0465004865,War Of The Worlds,"Predicting a forthcoming technological revolution with roots in cyberspace, a cautionary examination of internet culture reveals ""digerati"" personalities and their plans for the future. $25,000 ad/promo. Tour."
234899,0440212995,Halfway to Paradise,"After purchasing the soon-to-be-orphaned son of condemned spy Lord Chester, Jane Alexander fears for her life when Chester returns from the grave, vowing to claim his boy and seek revenge on the woman who bought him. Original."
234901,067142064X,The House of Thirty Cats,"Sarah's friend has a lot of cats--30 of them to be exact! When an angry neighbor complains, Sarah starts to match each cat's personality to people in the town to find them all new homes. Copyright © Libri GmbH. All rights reserved."
234905,0345355385,On Being a Friend,"Examines the nature of friendship, its relationship to death, the work good friendships require, and the way time changes human relationships"
234908,1556616538,Thanks for Being My Friend,"Brief stories and devotions examine the responsibilities, problems, and pleasures of friendship."
234909,0688080103,Get Help,"Suggests how to recognize and admit the need for help with various problems in life and how to locate help in such areas as mental health, substance addiction, family problems, legal matters, money, education, and physical health."
234911,1576830489,Daughters and Dads,A helpful book for any dad who wants to understand and support his daughter as she gets older.
234912,0137828551,Rome and Latium,"Photos and concise text describe the ancient ruins, medieval monasteries, cathedrals, and secular buildings of Rome and Latium."
234913,1565073401,Extreme Faith,"A devotional study guide designed especially for teens, with forty daily readings that explore what it means to be a Christian."
234915,0440844827,Great Apes,"Describes the physical characteristics, habits, and natural habitat of a variety of apes and discusses well-known naturalists who have studied them."
234920,0898401747,Why Wait?,"A 450-page resource book on teen sexual attitudes and behavior, with advice on helping teens say ""no"" to premarital sex. Also, what to do if they are sexually active."
234922,0373107374,Dawn of a New Day,"Dawn Of A New Day by Claudia Jameson released on Sep 24, 1984 is available now for purchase."
234924,0517580551,Women Talk About Gynecological Surgery,"Offers advice, information, and emotional support to women facing breast or gynecological surgery, discussing procedures, pain, recovery time, and more"
234927,1562922645,God's Little Instruction Book for Women,"-- Luxurious leather-bound gift edition with gold foil stamping adds distinctive classic beauty-- Elegantly combines the best inspiration from the original God's Little Instruction Book series, volumes I, II, and III."
234929,0840754655,Answers to 200 of Life's Most Probing Questions,"Discusses the answers in the Bible to common questions concerning God, Christ, salvation, the Church, marriage, and ethics"
234934,1579240593,Geography for Christian Schools,Over 180 maps and 300 photographs are included in the Student Text. Geography skills and principles are introduced in the first five chapters of the book and then reinforced through a survey of American and world geography. - Publisher.
234935,0205137644,A Writer's Handbook from A to Z,"Too many clones exist in the English handbook market. Arrangement is either greatest to smallest (essay to word) or smallest to greatest (parts of speech to essay). The concise handbook market has provided briefer versions of the standard handbook with the same arrangement with parts omitted. Meantime, people still try to figure out how to find information. This book differs from all the rest because it arranges its entries in a way that is easy to understand alphabetically. This brief reference handbook organizes its grammar contents by the letters of the alphabet to facilitate reference for users, many of whom may not understand the logic of traditionally-arranged handbooks. Separate sections on the writing process, the research paper, and specialized writing assignments are also included. An ideal reference for anyone looking for an easy-access handbook."
234937,057003230X,Psalms/now,"The Psalms. Cries from isolation. Exuberant shouts of praise. Doubt and trust. Anguish, joy, and fear of the Lord. Here the psalmists' bold, free prayers become yours in the words and phrases and look of today. - Jacket flap."
234941,0802463215,Women Facing Life's Demands,"Often we listen to the demands of too many voices and, in the process, we lose our loyalty to ourselves (coauthor Rita Schweitz). This workbook can help women take an active role in leading their lives toward what they really want. Through these exercises, women can develop an individualized strategy that enables them to take charge of life's demands."
234945,0687332079,The Power that Heals,"In the first book to relate faith in the Trinity to current medical discoveries, Randolph draws on personal experience, case studies, current events, and medical research to set forth the logic of the Christian faith and how faith contributes to healing of body and soul."
234947,067167305X,A Woman of Egypt,"Here is the passionate, heartfelt story of Jehan Sadat--patriot, feminist, wife, mother--a woman at the turbulent center of an ancient land."
234948,0373825323,Gentle on My Mind,"Gentle On My Mind by Bethany Campbell released on Aug 25, 1994 is available now for purchase."
234950,0849953871,Precious in His Sight,World-traveled photographer David Dobson has compiled this intriguing collection of stunning photos and original prayers from children around the globe. This inspirational full-color book is a perfect gift for adults and children.
234951,0891097139,Creating Community,"Without true community, even the most impressive local church has little more to offer than an endless cycle of meetings. If leaders feel they must be flawless or members find their personal needs and uniquenesses glossed over, the church will never become a place where hearts are touched and lives are changed. Drawn from over 25 years of experience, this book contains principles and suggestions that have repeatedly proven successful in creating community."
234952,0373059213,Miss Lizzy's Legacy,"Miss Lizzy's Legacy by Peggy Moreland released on Feb 22, 1995 is available now for purchase."
234953,0938458124,The Force of Righteousness,Join Kenneth Copeland as he uncovers the rights and privileges Jesus gave us through His sacrifice on the cross.
234954,0806628278,Listen to the Heart,"Love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, and self-control. These are the fruits of the Spirit promised to us in Galatians 5. In this collection of stories about real people, Bobbie Reed leads us to ponder how these fruits have been experienced in the everyday lives of contemporary Christians, and to reflect on how we can nurture these gifts to further our own spiritual growth. The book is divided into nine sections, one for each of the fruits of the Spirit, with several meditations on each of these gifts. The stories have been collected from the author's twenty years of experience leading inspirational seminars and conferences across the country. Listen to the Heart is an excellent resource for small- group study, Christian storytelling, and personal devotions."
234959,1561797944,The Best of Times,A timeless collection of heartwarming stories.
234961,0842371907,'Round the Corner,Evelyn Peerbaugh is apprehensive about her new boarders and hopes that they soon become a part of a new life-changing sister circle.
234962,0842328602,Larson's New Book of Cults,"Encyclopedic in form, popular in style, Larson's New Book of Cults analyzes dozens of cults and movements from historical, sociological, and biblical perspectives. It will tell you what you want to know about the cults' origins, their appeal, and their strategies. Most important, it details how each cult deviates from Christian truth."
234963,0805418458,Spiritual Leadership,Presents insights and guidance on developing and maintaining one's spiritual leadership skills.
234968,0842319204,The One Year Devotions for Men,"This insightful devotional contains 365 thought-provoking readings. Each day's selection includes a key Scripture verse, devotional reading, and a suggested Bible passage for further study. Convenient, concise, and uplifting, it can help men focus each day on God's priorities."
234969,0310488109,Lambs Among Wolves,Meet the men and women who are making a sustained and dynamic Christian witness in the heart of the cultural mainstream. You just might be surprised at who you meet.
234970,0425109674,The Honour of the Yorkshire Light Artillery,Chance and the reader's decisions will determine whether Sherlock Holmes can solve two jewel thefts in the west of England.
234972,0310207177,Where's Whitney?,"When she goes with her family to the amusement park Kidsworld, Whitney crawls inside a plastic dragon and gets left behind, causing her family members to pray for her safety when they notice that she is missing."
234973,0307231879,Just a Gum Wrapper,Little Critter learns how to help save the earth by conserving and recycling.
234975,0880704799,The Signature of Jesus,"The Signature of Jesus challenges the gospel of ""cheap grace"" and calls the church to radical discipleship. With passion and boldness, author Brennan Manning invites readers to risk living life as Jesus lived—committed to simplicity, purity of heart, and obedience to the gospel. As a radical alternative this book is offered to Christians who want to live by faith and not by mere “religion,” for those who recognize that many of the burning theological issues in the church today are neither burning nor theological; who see Christianity neither as a moral code or a belief system but as a love affair; who have not forgotten that they are followers of a crucified Christ; who know that following him means living dangerously; who want to live the gospel without compromise; who have no greater desire than to have his signature written on the pages of their lives. “Behold,” Jesus proclaims, “I stand at the door and knock.” You may have already met him at the door…but do you truly know him? Have you been transformed by His furious, passionate, unexplainable love? Join Brennan Manning, the bestselling author of The Ragamuffin Gospel, on a personal journey to experience Christ’s love and live with His passion."
234976,0373706294,Courting Valerie,"Courting Valerie by Linda Markowiak released on Nov 24, 1994 is available now for purchase."
234977,1561798029,My Time with God,"A collection of 150 devotionals that give the reader the opportunity to spend quiet time with God. Includes suggested readings from the Old and New Testaments, prayer starters, questions to ponder, and facts and fun from the Bible."
234979,0899572014,Two Hundred and Eighty Titles and Symbols of Christ,"Spend some time with ""the legends of the pulpit."" For decades, pastors, teachers, and bible students have drawn from the wealth of wisdom found in the writings of preachers that have paved the way for our faith. Their graceful eloquence and gifted use of language remain unparalleled. A passion for God's Word and well tuned delivery of life-changing truths are clearly abundant throughout this series. AMG is pleased to present an inspiring collection that will become a timeless addition to your library."
234981,0871233096,Destined for the Throne,"This book is a study in biblical cosmology setting forth the ultimate goal of the universe which is the church reigning with Christ with a new view of prayer as""on-the-job"" training in preparation for the throne."
234982,1556610130,The Nature of Holiness,"Fourteen messages of Wesley on the essentials of the Christian faith, particularly scriptural holiness."
234983,0884194353,Everyday I Pray for My Teenager,"Drugs, Sex, Cheating, Rebellion Your teenager faces these temptations every single day. I know I did. But my own life is a testimony to the tremendous work prayer can accomplish. By the time I was seventeen, I was a drug-selling, campus flunky. Thankfully, I had a grandmother who prayed for me every day, and I am convinced now more than ever that God heard her sustaining prayers and saw her unwavering faith. As a result, I now have a consuming desire to see teenagers serve the Lord with all their hearts. As you pray these scriptural prayers for your teenager and study the accompany Bible verses, you too will discover the crucial role God has predestined your teenager to play in this end-time revival."
234984,0834115166,The Upward Call,Four gifted communicators present a unique marriage between the Wesleyan teaching of holiness and the spiritual formation tradition. The result is a compelling expression of what it means to heed the call to a life of growing Christlikeness. Paper.
234985,156179726X,LifeTraining,"This devotional for teens and their parents is packed with 260 devotions based on the books of Matthew, Luke, John, Acts, and Revelation. Each features a Scripture passage, a story, questions, and a daily challenge."
234986,0345406958,Story of the Other Wise Man,"""I do not know where this little story came from--out of the air, perhaps. One thing is certain, it is not written in any other book, nor is it to be found among the ancient lore of the East. And yet I have never felt as if it were my own. It was a gift, and it seemed to me as if I knew the Giver."" --Henry Van Dyke Long, long ago, a wise man named Artaban, a priest of the Magi, discerned from heavenly signs that the time was at hand for the fulfillment of an ancient prophecy--the birth among the Hebrews of a holy Prince and Deliverer of Man. Hastening to join three fellow Magi for the long journey into Judaea, he paused to help a dying man and was left behind. And so Artaban began his pilgrimage alone, striking out not toward the realization of his life's deepest longing, as he hoped, but only toward misfortune and suffering. Or so he believed until one blessed, radiant moment. With an introduction by Leo Buscaglia"
234987,0805453865,Proverbs for Busy Women: Devotions to strengthen your walk with God,"In as little as five minutes with God every day, even the busiest women can find encouragement and inspiration in his word. Each volume includes 52 devotions."
234990,0345286596,I'll Never Be Fat Again,"The first revised edition of the bestseller that has taught millions a sensible, enduring approach to losing excess pounds and keeping the weight off. Stuart offers sound principles of sensible living that have helped millions of readers get thin and stay thin."
234991,0879810874,Boyd's Bible Dictionary,"Compact and complete, this handy reference book includes the definitions and pronunciations of thousands of Biblical words."
234992,1576734102,The Quest,"The Quest, book two in author Nancy Moser's Mustard Seed series, is the continuing story of four ordinary people whose lives are forever changed after they are invited to the very supernatural town of Haven, Nebraska. The paths of Natalie, Walter, Kathy, Del, and Julia are once again joined in a quest of faith -- and a battle against the forces determined to stop them -- as they implement the decisions and direction they received in The Invitation and discover the meaning of Matthew 7:7: ""Ask and it will be given to you; seek and you will find; knock and the door will be opened to you."" When the heat's turned up and the enemy unleashes his greatest opposition, the Havenites learn that it's not enough to know what's right -- one must, with God's help, do what's right. No matter what the cost."
234993,0345455746,Shatterpoint,"Master Mace Windu returns to his Separatist-occupied homeworld to investigate the disappearance of his former Padawan, Depa Billaba, who had been working as an undercover agent."
234994,0890814910,The Father Heart of God,"You'll will discover that no problem is too great or too insignificant for your Father in Heaven. The author illustrates how the loving, compassion of God enables us to overcome insecurity and the devastating effects of some of life's most painful experiences."
234996,0913367494,Loving God,A book that shows that when you love God your life is blessed.
234999,0872271749,"Stretch My Faith, Lord","Do you stretch your muscles before you work out? Then you know the benefits of stretching! And you can be sure that stretching your faith has benefits too. Study the book of James, and get into shape spiritually. 12 lessons"
235000,0736908471,The Resurrection File,"""The Resurrection File"" is a legal thriller with tightly drawn characters, page-turning twists and, at its core, a compelling story of one lawyer's discovery of the truth and power of Christ's message."
235001,0883686082,The Power of Faith,"Laughing at the impossible, Smith Wigglesworth trusted wholeheartedly in the words of Jesus, ""Only believe."" This same kind of miracle-working faith can be yours."
235002,0892765135,How You Can Be Led by the Spirit of God,"An all-time classic, this book provides step-by-step scriptural guidance to help believers follow the Spirit of God in every area of life."
235003,0345456696,Tatooine Ghost: Star Wars Legends,"SPECIAL BONUS INSIDE—the exclusive story ""A Forest Apart,"" previously available in e-book format only! Han and Leia struggle to keep the Empire at bay as stunning revelations from the past threaten to eclipse the future of the New Republic. . . . The deaths of Darth Vader and Emperor Palpatine by no means spelled the end of the Empire. In the aftermath, the New Republic has faced a constant struggle to survive. Now a new threat looms: a masterpiece of Alderaanian art—lost after the planet’s destruction—has resurfaced on the black market. It conceals a vital secret—the code used to communicate with New Republic agents undercover within the Empire. Discovery by Imperial forces would spell disaster. The only option is recovery—and Han, Leia, Chewbacca, and C-3PO have been dispatched to Tatooine to infiltrate the auction. When a dispute at the auction erupts into violence, the painting vanishes in the chaos. Han and Leia are thrust into a desperate race to reclaim it. As they battle against marauding TIE fighters, encroaching stormtroopers, and Tatooine’s savage Tusken Raiders, Leia’s emotional struggle over the specter of her infamous father culminates in the discovery of an extraordinary link to the past. And as long-buried secrets at last emerge, she faces a moment of reckoning that will forever alter her destiny . . . and that of the New Republic."
235005,1576737349,The Temptation,"""The Temptation"" continues the sagas of Haven, Nebraska, visitors Julia, Kathy, Del and Walter. When complacency attacks the characters' focus on God, they start believing their achievements have risen from their own savvy and power. When Del decides to organize a reunion, the characters face Satan's chaotic interference and learn the true nature of temptation: inevitable, subtle, biting and potentially disastrous."
235009,0718003438,The Answer,People are searching for answers to life's most puzzling questions. What is peace? Who is God? Why do bad things happen? What is the purpose of life? The Answer examines the issues and events of our time in light of what the Bible says. With 365 selected writings by the world's best-known classic and contemporary Christian writers. The Answer integrates relevant questions and understandable answers throughout the text of the easiest to understand New Century Version of the Bible.
235010,0687336325,Second Helpings,Twevle stories of everyday life attempt to reveal Christian truths and values
235011,0736905375,The 10 Most Important Things You Can Say to a Catholic,"Fact-filled, easy-to-understand, and visually appealing, this series delivers the essential knowledge you need to know to effectively witness biblical truths to people led astray by false teachings. Noted Bible teacher Ron Rhodes highlights the key differences between specific cults and biblical Christianity by: identifying the 10 most critical problems examining the exact nature of each doctrinal error contrasting cultic teachings with the truth found in God’s Word explaining the correct meanings of Bible verses cults cite out of context reviewing basic principles of Bible interpretation that ensure accurate understanding Important points, witnessings tips, digging deeper sections, and cautions that highlight the confusing arguments and tactics used by each organization make these books perfect for individual witnessing, Bible studies, youth groups, and evangelism refreshers. Discusses why the Apocrypha isn’t in the canon, the true role of tradition, Catholicism’s erroneous distinction between venial and mortal sins, the concept of purgatory, the controversy surrounding Jesus’ mother Mary, and more."
