,ISBN,Book_Title,Description,sentiment_score_neg,sentiment_score_neu,sentiment_score_pos,sentiment_score_compound,sentiment_type
181,0061052523,Interesting Times,"Murder and mayhem in Discworld! The funniest writer in fantasy strikes again with a witty and rollicking tale of golems, invisible killers and hapless security officers.",0.362,0.485,0.153,-0.8478,1
182,0064472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God","Georgia Nicolson has started dating the Sex God (aka Robbie). So life should be perfect . . . except in Georgia's life, nothing is ever perfect. Her cat, Angus (the size of a small Labrador), is terrorizing the neighborhood. Her sister, Libby (who is slightly mad), hides her pooey knickers at the bottom of Georgia's bed. Then the Sex God breaks it off because she's too young. It's time for a plan. It's time for a Red Herring. It's time for Georgia to become a ""heartless boy magnet!""",0.091,0.783,0.126,0.5057,1
183,0140620664,Mansfield Park,"Begun in 1811 at the height of Jane Austen's writing powers and published in 1814, Mansfield Park marks a conscious break from the tone of her first three novels, Northanger Abbey, Sense and Sensibility, and Pride and Prejudice, the last of which Austen came to see as ""rather too light."" Fanny Price is unlike any of Austen's previous heroines, a girl from a poor family brought up in a splendid country house and possessed of a vast reserve of moral fortitude and imperturbability. She is very different from Elizabeth Bennet, but is the product of the same inspired imagination.",0.041,0.859,0.1,0.7269,1
184,0312156960,The Winter King,"It takes a remarkable writer to make an old story as fresh and compelling as the first time we heard it. With The Winter King, the first volume of his magnificent Warlord Chronicles, Bernard Cornwell finally turns to the story he was born to write: the mythic saga of King Arthur. The tale begins in Dark Age Britain, a land where Arthur has been banished and Merlin has disappeared, where a child-king sits unprotected on the throne, where religion vies with magic for the souls of the people. It is to this desperate land that Arthur returns, a man at once utterly human and truly heroic: a man of honor, loyalty, and amazing valor; a man who loves Guinevere more passionately than he should; a man whose life is at once tragic and triumphant. As Arthur fights to keep a flicker of civilization alive in a barbaric world, Bernard Cornwell makes a familiar tale into a legend all over again.",0.068,0.704,0.228,0.9843,1
185,0312890044,Moonheart,"When Sara and Jamie discovered the seemingly ordinary artifacts, they sensed the pull of a dim and distant place. A world of mists and forests, of ancient magics, mythical beings, ageless bards...and restless evil. Now, with their friends and enemies alike--Blue, the biker; Keiran, the folk musician; the Inspector from the RCMP; and the mysterious Tom Hengyr--Sara and Jamie are drawn into this enchanted land through the portals of Tamson House, that sprawling downtown edifice that straddles two worlds. Sweeping from ancient Wales to the streets of Ottawa today, Moonheart will entrance you with its tale of this world and the other one at the very edge of sight...and the unforgettable people caught up in the affairs of both. A tale of music, and motorcycles, and fey folk beyond the shadows of the moon. A tale of true magic; the tale of Moonheart.",0.064,0.877,0.059,-0.2023,1
186,034543191X,The King of Elfland's Daughter,"“No amount of mere description can convey more than a fraction of Lord Dunsany's pervasive charm.”—H.P. Lovecraft With an introduction by Neil Gaiman The poetic style and sweeping grandeur of The King of Elfland's Daughter has made it one of the most beloved fantasy novels of our time, a masterpiece that influenced some of the greatest contemporary fantasists. The heartbreaking story of a marriage between a mortal man and an elf princess is a masterful tapestry of the fairy tale following the “happily ever after.” Praise for The King of Elfland's Daughter “We find that he has but tranfigured with beauty the common sights of the world.”—William Butler Yeats “I shall indeed be happy if this volume contributes to the rediscovery of one of the greatest writers of this century.”—Arthur C. Clarke “Del Rey is to be thanked for bringing these works back into print. No one can understand modern fantasy without understanding its roots, and Lord Dunsany's work is immediately significant as well as enjoyable even today.”—Katharine Kerr “A fantasy novel in a class with the Tolkien books.”—L. Sprague de Camp",0.023,0.769,0.208,0.9904,1
187,0373836023,Powder And Patch,"When Cleone Charteris returns from finishing school, she is determined to find a sophisticated, aristocratic husband, but her childhood friend, Philip Jettan, has other plans for the lovely lady as he launches an amorous campaign to win her hand in marriage. Reprint.",0.0,0.56,0.44,0.9812,1
188,0375801677,The Iron Giant,The fearsome iron giant becomes a hero when he challenges a huge space monster.,0.151,0.447,0.402,0.5423,1
189,0375814248,James and the Giant Peach,A young boy escapes from two wicked aunts and embarks on a series of adventures with six giant insects he meets inside a giant peach.,0.129,0.722,0.148,-0.128,1
190,0375823352,His Dark Materials: The Amber Spyglass (Book 3),"HIS DARK MATERIALS IS NOW AN HBO ORIGINAL SERIES STARRING DAFNE KEEN, RUTH WILSON, ANDREW SCOTT, AND LIN-MANUEL MIRANDA! The unforgettable His Dark Materials trilogy that began with The Golden Compass and continued with The Subtle Knife, reaches its astonishing conclusion in The Amber Spyglass. These modern fantasy classics have been hailed by Entertainment Weekly as an ""All-Time Greatest Novel"" and Newsweek as a ""Top 100 Book of All Time"" Throughout the worlds, the forces of both heaven and hell are mustering to take part in Lord Asriel's audacious rebellion. Each player in this epic drama has a role to play—and a sacrifice to make. Witches, angels, spies, assassins, tempters, and pretenders, no one will remain unscathed. Lyra and Will have the most dangerous task of all. They must journey to a gray-lit world where no living soul has ever gone and from which there is no escape. As war rages and Dust drains from the sky, the fate of the living—and the dead—comes to depend on Lyra and Will. On the choices they make in love, and for love, forevermore. A #1 New York Times Bestseller Winner of the Whitbread Award Winner of the British Book Award (Children's) Published in 40 Countries ""Masterful.... This title confirms Pullman's inclusion in the company of C.S. Lewis and Tolkien."" —Smithsonian Magazine ""Pullman has created the last great fantasy masterpiece of the twentieth century. An astounding achievement."" —The Cincinnati Enquirer ""War, politics, magic, science, individual lives and cosmic destinies are all here . . . shaped and assembled into a narrative of tremendous pace by a man with a generous, precise intelligence. I am completely enchanted."" —The New York Times Book Review ""Breathtaking adventure . . . a terrific story, eloquently told."" —The Boston Globe Don't miss Philip Pullman's epic new trilogy set in the world of His Dark Materials! ** THE BOOK OF DUST ** La Belle Sauvage The Secret Commonwealth",0.062,0.722,0.216,0.9949,1
191,0380730448,Adrian Mole Diaries,"Shares the observations of Adrian Mole, a thirteen-year-old budding intellectual beset with worries about his complexion, his untried sexuality, and his parents's unsteady marriage",0.099,0.707,0.194,0.4019,1
192,0380973839,The Martian Chronicles,"Man, was a a distant shore, and the men spread upon it in wave... Each wave different, and each wave stronger. The Martian Chronicles Ray Bradbury is a storyteller without peer, a poet of the possible, and, indisputably, one of America's most beloved authors. In a much celebrated literary career that has spanned six decades, he has produced an astonishing body of work: unforgettable novels, including Fahrenheit 451 and Something Wicked This Way Comes; essays, theatrical works, screenplays and teleplays; The Illustrated Mein, Dandelion Wine, The October Country, and numerous other superb short story collections. But of all the dazzling stars in the vast Bradbury universe, none shines more luminous than these masterful chronicles of Earth's settlement of the fourth world from the sun. Bradbury's Mars is a place of hope, dreams and metaphor-of crystal pillars and fossil seas-where a fine dust settles on the great, empty cities of a silently destroyed civilization. It is here the invaders have come to despoil and commercialize, to grow and to learn -first a trickle, then a torrent, rushing from a world with no future toward a promise of tomorrow. The Earthman conquers Mars ... and then is conquered by it, lulled by dangerous lies of comfort and familiarity, and enchanted by the lingering glamour of an ancient, mysterious native race. Ray Bradbury's The Martian Chronicles is a classic work of twentieth-century literature whose extraordinary power and imagination remain undimmed by time's passage. In connected, chronological stories, a true grandmaster once again enthralls, delights and challenges us with his vision and his heart-starkly and stunningly exposing in brilliant spacelight our strength, our weakness, our folly, and our poignant humanity on a strange and breathtaking world where humanity does not belong.",0.083,0.727,0.19,0.9888,1
193,0385327773,The Great God Pan,"The author of The Magic Circle offers a romantic and mythological tale about the good-spirited goat and god Pan and his intense love for a human, Princess Iphigenia.",0.0,0.681,0.319,0.8519,1
194,0394586239,Possession,"In 1986 two young English scholars stumble upon a remarkable discovery: a hitherto unsuspected relationship between the Browningesque 19th century poet Randolph Henry Ash, and his contemporary Christabel LaMotte. Their research reveals uncanny parallels with their own lives and culminates in the exhumation of a poet's corpse.",0.075,0.852,0.073,-0.0258,1
195,0439510112,Born Confused,"Seventeen-year-old Dimple, whose family is from India, discovers that she is not Indian enough for the Indians and not American enough for the Americans, as she sees her hypnotically beautiful, manipulative best friend taking possession of both her heritage and the boy she likes. Reprint.",0.0,0.744,0.256,0.9337,1
196,0440241413,Confessions of a Shopaholic,"Financial journalist Rebecca Bloomwood seeks solace from the boredom and pressures in life with her shopping, a solution that brings her close to financial disaster, until she encounters a story that will change her life.",0.217,0.725,0.057,-0.7506,1
197,0451409256,Making Minty Malone,"After her fiance leaves her at the altar, radio reporter Minty Malone cuts loose and begins a life-changing adventure instead.",0.197,0.702,0.101,-0.296,1
199,0451526279,Emma (Signet Classic),"Beschrijving van leven en karakter van een jong, intelligent en zelfbewust meisje uit de gegoede middenstand in Engeland omstreeks 1800.",0.0,0.864,0.136,0.4588,1
200,0451526341,Animal Farm,"75th Anniversary Edition—Includes a New Introduction by Téa Obreht George Orwell's timeless and timely allegorical novel—a scathing satire on a downtrodden society’s blind march towards totalitarianism. “All animals are equal, but some animals are more equal than others.” A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned—a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.",0.156,0.614,0.23,0.9552,1
201,0486415864,Great Expectations,Dickens' account of the rises and relapses of an orphan whose expectations and ambitions are greatly shaped and transformed by a mysterious benefactor.,0.0,1.0,0.0,0.0,2
202,0553280589,Eva Luna,"A servant woman relates the tale of her life and of the landowners, emigres, urchins, guerrilla leaders, entertainers, eccentrics, and refugees who instruct and transform her",0.0,0.923,0.077,0.25,1
203,0571197639,The Poisonwood Bible,"Congo, Democratic Republic - history 1960.",0.0,1.0,0.0,0.0,2
204,0670035262,The Green Man,A collection of stories and poems by a variety of authors relating to the Green Man and other myths of the forest.,0.0,1.0,0.0,0.0,2
205,0679423079,Nicholas Nickleby,"Charles Dickens had an understanding of mid-Victorian society second to none, and genius and energy massive enough to make the absurdities and terrors of that society come alive on the page. Nicholas Nickleby, with its episodes of chicanery in finance and education, and the dramatic intensity with which it tells the story of its openhearted young protagonist and its frightening villain, the magnificently rendered Ralph Nickleby, represents Dickens at his clear-eyed, indignant, and mesmerizing best. When Nicholas Nickleby is left penniless by the death of his father, he appeals to his Uncle Ralph to help him and his mother and sister. But Ralph conceives a violent hatred of the young man, and his schemes of persecution haunt Nicholas through a series of picaresque adventures, including a job as a tutor at a horrific school for unwanted boys run by the cruel Wackford Squeers and a stint as a member of the eccentric Crummles family theater troupe. Without shying away from the grimmer aspects of the world Nicholas encounters on his path to eventual happiness, the story remains one of Dickens’s most high-spirited and exuberant. This edition reprints the original Everyman preface by G. K. Chesterton and includes thirty-nine illustrations by Phiz.",0.175,0.706,0.119,-0.9486,1
206,0679751343,Angels & Insects,"In these two “astonishing” novellas (The New Yorker), the Booker Prize-winning author of Possession returns to the landscape of Victorian England, where science and spiritualism are popular manias, and domestic decorum coexists with brutality and perversion. ""At once quirky and deep, brimming with generosity, imagination, and intelligence."" —The New Yorker ""delicate and confidently ironic.... Byatt perfectly blends laughter and sympathy [with] extraordinary sensuality"" —San Francisco Examiner",0.075,0.682,0.243,0.9186,1
207,0684833395,Catch-22,"Classic Edition of this well known work with an introduction by the author, Joseph Heller.",0.0,0.855,0.145,0.3346,1
208,0749748028,The Folk of the Faraway Tree,"Jo, Bessie and Fanny have a visit from snooty friend Connie. Connie won't believe in the Faraway Tree and the magical people who live there - Moon-face, Silky the fairy and Saucepan Man. There's only one way to prove her wrong - together the children climb the tree, and visit some of the lands at the top of it, like the Land of Secrets and the Land of Treats. And after a few adventures, Connie learns to be a nicer person altogether",0.036,0.817,0.147,0.8271,1
209,0963094424,Angels & Visitations,"A miscellany of fiction, humour, non-fiction, poetry, and artwork, Angels & visitations journeys from science fiction and fantasy shorts to detective stories and meticulously-researched literary works.",0.0,0.881,0.119,0.4767,1
210,1563898586,The League of Extraordinary Gentlemen,"The League of Extraordinary Gentlemen, a group composed of heroes from late nineteenth-century literature, faces a threat from an unknown world which has descended upon London.",0.118,0.767,0.115,-0.0258,1
211,156971620X,Harlequin Valentine,Dark Horse Manga and Harlequin Books are delighted to present a shining new line of books that marry two of the most successful phenomenon to hit bookstores - bestselling Harlequin romance fiction and female-friendly Japanese manga!,0.0,0.733,0.267,0.9059,1
212,1592571301,Alpha Teach Yourself American Sign Language in 24 Hours,"Written by a native signer, this book teaches the basics of American Sign Language through photographs, grouping signs by subjects, and includes nonmanual signals, a history of the language, and an introduction to deaf culture.",0.0,1.0,0.0,0.0,2
213,0374270325,A Man in Full,"The Bonfire of the Vanities defined an era--and established Tom Wolfe as our prime fictional chronicler of America at its most outrageous and alive. With A Man in Full, the time the setting is Atlanta, Georgia--a racially mixed late-century boomtown full of fresh wealth, avid speculators, and worldly-wise politicians. Big men. Big money. Big games. Big libidos. Big trouble. The protagonist is Charles Croker, once a college football star, now a late-middle-aged Atlanta real-estate entrepreneur turned conglomerate king, whose expansionist ambitions and outsize ego have at last hit up against reality. Charlie has a 28,000-acre quail-shooting plantation, a young and demanding second wife--and a half-empty office tower with a staggering load of debt. When star running back Fareek Fanon--the pride of one of Atlanta's grimmest slums--is accused of raping an Atlanta blueblood's daughter, the city's delicate racial balance is shattered overnight. Networks of illegal Asian immigrants crisscrossing the continent, daily life behind bars, shady real-estate syndicates, cast-off first wives of the corporate elite, the racially charged politics of college sports--Wolfe shows us the disparate worlds of contemporary America with all the verve, wit, and insight that have made him our most phenomenal, most admired contemporary novelist. A Man in Full is a 1998 National Book Award Finalist for Fiction.",0.12,0.787,0.093,-0.7329,1
214,0440235502,October Sky,"The true story, originally published as Rocket Boys, that inspired the Universal Pictures film. It was 1957, the year Sputnik raced across the Appalachian sky, and the small town of Coalwood, West Virginia, was slowly dying. Faced with an uncertain future, Homer Hickam nurtured a dream: to send rockets into outer space. The introspective son of the mine’s superintendent and a mother determined to get him out of Coalwood forever, Homer fell in with a group of misfits who learned not only how to turn scraps of metal into sophisticated rockets but how to sustain their hope in a town that swallowed its men alive. As the boys began to light up the tarry skies with their flaming projectiles and dreams of glory, Coalwood, and the Hickams, would never be the same.",0.011,0.804,0.185,0.9732,1
215,044023722X,A Painted House,"Racial tension, a forbidden love affair, and murder are seen through the eyes of a seven-year-old boy in a 1950s Southern cotton-farming community.",0.327,0.533,0.14,-0.6808,1
216,1573225487,The Romance Reader,"Widely applauded when it was published last year, Pearl Abraham's debut novel The Romance Reader possesses that quality that distinguishes all great fiction—a fresh look at the universal truths that bind us together. Like Chaim Potok, who revealed the Orthodox Jewish world from a young man's perspective in The Chosen, Abraham explores new ground, offering readers a tender story of a young Hasidic woman facing the challenges of growing up and the demands of her religion. Rachel Benjamin is the daughter of a quixotic rabbi who dreams of building a synagogue in the secluded upstate New York bungalow colony where his family now lives. As the rabbi's eldest daughter, Rachel is expected to set an example for her five siblings and for the other girls in the community: she must wear thick opaque tights with seams; she is forbidden to wear a bathing suit in public; and she can never read books in English. But like all young adults, Rachel bristles at the stringent rules set by her family and her religion, rebelling in ways that become increasingly apparent. Whether sneaking sheer nylons in and out of the house or applying for an illicit library card that will allow her access to the romance novels that she loves, Rachel is determined to do things her way. Dreaming of a life that mirrors that of the heroines in her favorite novels, Rachel craves the independence she will never have as a Hasidic woman in an arranged marriage. And yet, as her impending marriage draws inevitably nearer, the pulls of family and faith weigh against the frightening and unknown world beyond her own. This coming-of-age tale is both unusual and familiar—an intriguing, heartfelt look at the power of family and religion in the Hasidic community and the universal desire to leave the nest.",0.03,0.802,0.168,0.9918,1
218,0345391691,The Battle for God,"In the late twentieth century, fundamentalism has emerged as one of the most powerful forces at work in the world, contesting the dominance of modern secular values and threatening peace and harmony around the globe. Yet it remains incomprehensible to a large number of people. In The Battle for God, Karen Armstrong brilliantly and sympathetically shows us how and why fundamentalist groups came into existence and what they yearn to accomplish. We see the West in the sixteenth century beginning to create an entirely new kind of civilization, which brought in its wake change in every aspect of life -- often painful and violent, even if liberating. Armstrong argues that one of the things that changed most was religion. People could no longer think about or experience the divine in the same way; they had to develop new forms of faith to fit their new circumstances. Armstrong characterizes fundamentalism as one of these new ways of being religious that have emerged in every major faith tradition. Focusing on Protestant fundamentalism in the United States, Jewish fundamentalism in Israel, and Muslim fundamentalism in Egypt and Iran, she examines the ways in which these movements, while not monolithic, have each sprung from a dread of modernity -- often in response to assault (sometimes unwitting, sometimes intentional) by the mainstream society. Armstrong sees fundamentalist groups as complex, innovative, and modern -- rather than as throwbacks to the past -- but contends that they have failed in religious terms. Maintaining that fundamentalism often exists in symbiotic relationship with an aggressive modernity, each impelling the other on to greater excess, she suggests compassion as a way to defuse what is now an intensifying conflict. BONUS: This edition contains an excerpt from Karen Armstrong's Twelve Steps to a Compassionate Life.",0.077,0.781,0.142,0.9562,1
219,0520011171,Sappho,"These hundred poems and fragments constitute virtually all of Sappho that survives and effectively bring to life the woman whom the Greeks consider to be their greatest lyric poet. Mary Barnard's translations are lean, incisive, direct--the best ever published. She has rendered the beloved poet's verses, long the bane of translators, more authentically than anyone else in English.",0.0,0.787,0.213,0.9393,1
220,0553278746,The Postman,"In the aftermath of a war that has devastated the nation, a traveling storyteller borrows the jacket of a long-dead postal worker and is transformed unwittingly into a symbol of hope for America's future.",0.209,0.714,0.077,-0.7184,1
222,0872200760,Symposium,"Among the most powerful and moving of Plato's dialogues, the Symposium is one of the greatest literary works on the nature of love in Western thought.",0.0,0.667,0.333,0.9099,1
223,0937858994,The What's Happening to My Body? Book for Boys,"Discusses the changes that take place in a boy's body during puberty, including information on the body's changing size and shape, the growth spurt, reproductive organs, pubic hair, beards, pimples, voice changes, wet dreams, and puberty in girls.",0.0,0.868,0.132,0.6486,1
224,0671649949,The Object of My Affection,This is the gently comic story of two insecure young people who share a Brooklyn apartment: a gay man and a pregnant woman who are both on the brink of financial and emotional disaster.,0.174,0.655,0.171,-0.2732,1
225,0064470113,Taking the Ferry Home,"Two sixteen-year-old girls from different social classes spend the summer together on a resort island and experience a test of their friendship when family loyalties, romance, and drug dependence interfere.",0.0,0.727,0.273,0.8555,1
226,0553571486,Angel of Hope,"Heather returns from her missionary trip to Africa, dissapointed to find her selfish family unchanged, and a second trip back, with the whole family this time, might be just what everyone needs. Original.",0.088,0.847,0.065,-0.2023,1
227,0972044205,The Breach,"The Breach is the fictional account of General Manuel Fernadez Castrillioin, Aid-de-Camp for Santa Anna as the Mexican President and his army marches on Texas and the Alamo in the Spring of 1836. It has been hailed as one of the best books ever written on the Alamo and is required reading for any Mexican reinactment participant. This book is unique in the fact it is the only book that tells the entire story of the Alamo from the Mexican point of view",0.0,0.93,0.07,0.7269,1
228,0312963009,Neanderthal,"Not since Jurassic Park has a novel so enthralled readers everywhere. Now, enter the world of Neanderthal... The expedition of the century...uncovers the find of the millennium...Neanderthal. In the remote mountains of central Asia, an eminent Harvard archeologist discovers something extraordinary. He sends a cryptic message to two colleagues. But then, he disappears. Matt Mattison and Susan Arnot-- once lovers, now academic rivals-- are going where few humans have ever walked, looking for a relic band of creatures that have existed for over 40,000 years, that possess powers man can only imagine, and that are about to change the face of civilization forever.",0.029,0.912,0.059,0.4854,1
229,0345435869,The Rivan Codex,"Join David and Leigh Eddings on a fascinating behind-the-scenes tour of the extensive background materials they compiled before beginning the masterpiece of epic fantasy unforgettably set down in The Belgariad and The Malloreon and their two companion volumes, Belgarath the Sorcerer and Polgara the Sorceress. Our tour stretches from the wealthy Empire of Tolnedra to the remote Isle of the Winds, from the mysterious mountains of Ulgoland to the forbidding reaches of darkest Mallorea. Along the way, you will meet old friends and enemies alike. Rare volumes will be opened to your eyes. Sacred holy books in which you may read the secrets of the Gods themselves and of their prophets. Scholarly histories of the rise and fall of empires from the Imperial Library at Tol Honeth. The profound mysteries of the Malloreon Gospels. THE RIVAN CODEX will enrich your understanding of all that has gone before . . . and whet your appetite for more spectacular adventures from this talented team.",0.052,0.822,0.126,0.9058,1
230,0380728729,Babyhood,"The author, a new father, discusses the intricacies of welcoming a new member of the family, from the nerve-racking drive to the delivery room to the art of hypnotizing your newborn to sleep",0.0,0.912,0.088,0.4404,1
231,0449912302,Dave Barry in Cyberspace,"""RELENTLESSLY FUNNY . . . BARRY SHINES."" --People A self-professed computer geek who actually does Windows 95, bestselling humorist Dave Barry takes us on a hilarious hard drive via the information superhighway--and into the very heart of cyberspace, asking the provocative question: If God had wanted us to be concise, why give us so many fonts? Inside you'll find juicy bytes on How to Buy and Set Up a Computer; Step One: Get Valium Nerdstock in the Desert; Or: Bill Gates Is Elvis Software: Making Your Computer Come Alive So It Can Attack You Word Processing: How to Press an Enormous Number of Keys Without Ever Actually Writing Anything Selected Web Sites, including Cursing in Swedish, Deformed Frog Pictures, and The Toilets of Melbourne, Australia And much, much more! ""VERY FUNNY . . . After a day spent staring at a computer monitor, think of the book as a kind of screen saver for your brain."" --New York Times Book Review",0.04,0.847,0.113,0.8978,1
232,0812541642,Waiting,"After waiting 35,000 years for their chance to rule, an alternative species of human beings is ready to take over the planet. Reprint.",0.0,0.824,0.176,0.5423,1
233,0312988699,Nowhere to Run,"Annabelle Murphy, a medical producer for a highly rated television news program, finds her station reducing into pandemonium when an employee dies from the latest sensationalized illness, an event with suspicious causes. By the author of Do You Promise Not to Tell? Reprint.",0.114,0.835,0.051,-0.4404,1
235,0385313748,All Our Yesterdays,"From the author of the best-selling Spenser novels, an epic family saga of fathers, sons, lovers, and heroes spans the twentieth century and portrays two families struggling with a legacy of violence, obsession, and deceit. (General Fiction).",0.251,0.612,0.137,-0.6808,1
236,1575843366,What Shall I Be?,"Barbie demonstrates what different occupations involve, from teacher and ballerina, to doctor and business executive.",0.0,1.0,0.0,0.0,2
237,0684193957,All That Remains,"When a fifth couple falls prey to a serial killer with a penchant for murdering young lovers parked in their cars, Chief Medical Examiner Kay Scarpetta examines the evidence. By the author of Body of Evidence. 150,000 first printing. $150,000 ad/promo.",0.183,0.745,0.072,-0.7351,1
238,0345371984,Last Chance to See,"New York Times bestselling author Douglas Adams and zoologist Mark Carwardine take off around the world in search of exotic, endangered creatures. Join them as they encounter the animal kingdom in its stunning beauty, astonishing variety, and imminent peril: the giant Komodo dragon of Indonesia, the helpless but loveable Kakapo of New Zealand, the blind river dolphins of China, the white rhinos of Zaire, the rare birds of Mauritius island in the Indian Ocean. Hilarious and poignant—as only Douglas Adams can be—Last Chance to See is an entertaining and arresting odyssey through the Earth’s magnificent wildlife galaxy. Praise for Last Chance to See “Lively, sharply satirical, brilliantly written . . . shows how human care can undo what human carelessness has wrought.”—The Atlantic “These authors don’t hesitate to present the alarming facts: More than 1,000 species of animals (and plants) become extinct every year. . . . Perhaps Adams and Carwardine, with their witty science, will help prevent such misadventures in the future.”—Boston Sunday Herald “Very funny and moving . . . The glimpses of rare fauna seem to have enlarged [Adams’s] thinking, enlivened his world; and so might the animals do for us all, if we were to help them live.”—The Washington Post Book World “[Adams] invites us to enter into a conspiracy of laughter and caring.”—Los Angeles Times “Amusing . . . thought-provoking . . . Its details on the heroic efforts being made to save these animals are inspirational.”—The New York Times Book Review",0.067,0.712,0.221,0.9933,1
239,1573228737,Affinity,"“Gothic tale, psychological study, puzzle narrative…This is gripping, astute fiction that feeds the mind and senses.”—The Seattle Times An upper-class woman recovering from a suicide attempt, Margaret Prior has begun visiting the women’s ward of Millbank prison, Victorian London’s grimmest jail, as part of her rehabilitative charity work. Amongst Millbank’s murderers and common thieves, Margaret finds herself increasingly fascinated by on apparently innocent inmate, the enigmatic spiritualist Selina Dawes. Selina was imprisoned after a séance she was conducting went horribly awry, leaving an elderly matron dead and a young woman deeply disturbed. Although initially skeptical of Selina’s gifts, Margaret is soon drawn into a twilight world of ghosts and shadows, unruly spirits and unseemly passions, until she is at last driven to concoct a desperate plot to secure Selina’s freedom, and her own. As in her noteworthy deput, Tipping the Velvet, Sarah Waters brilliantly evokes the sights and smells of a moody and beguiling nineteenth-century London, and proves herself yet again a storyteller, in the words of the New York Times Book Review, of ""startling power.""",0.18,0.709,0.111,-0.9381,1
241,0380711109,Desert Notes,"Here, for the first time in one volume, are two of Lopez's masterpieces, ""River Notes and ""Desert Notes. From the thundering power of the river's swift current, to the stillness of clear freshwater pools; to desert springs, birds and wind, and rattlesnakes . . . and the terrible intrusion of man, Lopez allows us to share moments of intense personal experience as man tries to come to terms with the Earth's landscape, and with his own existence.",0.038,0.824,0.138,0.743,1
242,0425120279,The Hunt for Red October,Gripping military thriller about the chase after a top-secret Russian missile submarine. Copyright © Libri GmbH. All rights reserved.,0.0,0.92,0.08,0.1027,1
243,067153484X,The Music Box,"Left with only a music box by which to remember her murdered parents, an orphaned Gabrielle Denning is taken in by Lady Nevon and falls in love with Nevon's nephew, with whom she must solve a mystery or lose her newfound happiness. Original.",0.131,0.648,0.22,0.5859,1
244,0380728273,Liberty Falling,"Park ranger Anna Pigeon, in New York to visit her desperately ill sister, becomes drawn into an investigation of a series of strange murders in Statue of Liberty Park",0.298,0.612,0.09,-0.7783,1
246,0771076002,Remembering Peter Gzowski,"A celebration of Peter Gzowski's life and of the enormous role he played in Canadian life. It collects tributes from friends and colleagues, and from grieving strangers who had been touched by him in one of the roles that provide us with the chapters in this book: as a writer in newspapers, magazines, or books; as a radio broadcaster; on camera; as a lover of Canada; and as a father, relative, or trusted friend. 2002.",0.04,0.772,0.188,0.9062,1
247,1559703237,Trying to Save Piggy Sneed,"A collection of one dozen short works includes the title piece, a loving portrait of the author's grandmother, and additional stories, including ""The Pension Grillparzer"" and ""Dinner at the White House""",0.0,0.878,0.122,0.5994,1
248,0060188731,Bel Canto,"Somewhere in South America, at the home of the country's vice president, a lavish birthday party is being held in honor of Mr. Hosokawa, a powerful Japanese businessman. Roxanne Coss, opera's most revered soprano, has mesmerized the international guests with her singing. It is a perfect evening—until a band of gun-wielding terrorists breaks in through the air-conditioning vents and takes the entire party hostage. But what begins as a panicked, life-threatening scenario slowly evolves into something quite different, as terrorists and hostages forge unexpected bonds and people from different countries and continents become compatriots. Without the demands of the world to shape their days, life on the inside becomes more beautiful than anything they had known before. At once riveting and impassioned, the narrative becomes a moving exploration of how people communicate when music is the only common language. Friendship, compassion, and the chance for great love lead the characters to forget the real danger that has been set in motion and cannot be stopped. Ann Patchett has written a novel that is as lyrical and profound as it is unforgettable. Bel Canto engenders in the reader the very passion for art and the language of music that its characters discover. As a reader, you find yourself fervently wanting this captivity to continue forever, even though you know that real life waits on the other side of the garden wall. A virtuoso performance by one of our best and most important writers, Bel Canto is a novel to be cherished.",0.063,0.702,0.235,0.9944,1
249,0140374248,James and the Giant Peach,"From the bestselling author of Charlie and the Chocolate Factory and The BFG! Roald Dahl was a champion of the underdog and all things little—in this case, an orphaned boy oppressed by two nasty, self-centered aunts. How James escapes his miserable life with the horrible aunts and becomes a hero is a Dahlicious fantasy of the highest order. You will never forget resourceful little James and his new family of magically overgrown insects—a ladybug, a spider, a grasshopper, a glowworm, a silkworm, and the chronic complainer, a centipede with a hundred gorgeous shoes. Their adventures aboard a luscious peach as large as a house take them across the Atlantic Ocean, through waters infested with peach-eating sharks and skies inhabited by malevolent Cloudmen, to a ticker-tape parade in New York City. This happily ever after contemporary fairy tale is a twentieth-century classic that every child deserves to know. And Lane Smith's endearingly funny illustrations are a perfect match for the text. ""All the gruesome imagery of old-fashioned fairy tales and a good measure of their breathtaking delight."" —Kirkus Reviews ""A stunning book, to be cherished for its story, a superb fantasy."" —The Chicago Tribune ""The most original fantasy that has been published in a long time...[it] may well become a classic."" —San Francisco Chronicle",0.068,0.726,0.207,0.9835,1
